,7,15,20,30,50
7,1.0,1.0,1.0,0.1856837298230472,0.0004821039796733304
15,1.0,1.0,1.0,1.0,0.015262348899540519
20,1.0,1.0,1.0,1.0,0.09171507197930502
30,0.1856837298230472,1.0,1.0,1.0,0.8725613151612822
50,0.0004821039796733304,0.015262348899540519,0.09171507197930502,0.8725613151612822,1.0
