,0.4,0.5,0.6,0.8
0.4,1.0,0.2613361025710932,1.0,4.5774095523845645e-10
0.5,0.2613361025710932,1.0,0.07715667017552727,8.5854833108587475e-16
0.6,1.0,0.07715667017552727,1.0,2.134496284946938e-08
0.8,4.5774095523845645e-10,8.5854833108587475e-16,2.134496284946938e-08,1.0
