,0.4,0.5,0.6,0.8
0.4,1.0,1.0,1.0,0.0005011336296895622
0.5,1.0,1.0,1.0,6.20236858871618e-06
0.6,1.0,1.0,1.0,0.00125528485394535
0.8,0.0005011336296895622,6.20236858871618e-06,0.00125528485394535,1.0
