Variable,H_statistic,p_value,Significant
pca_group,62.59338866818769,1.33573608748327e-11,True
metric_type,0.5490996827738568,0.45868579674899923,False
threshold,71.5534086859309,1.9841617007175833e-15,True
window,29.52234884161975,5.5275634458561887e-08,True
comparison,315.4873808988968,1.3927363372400962e-70,True
radius,65.10957056973398,2.440005781437835e-13,True
