metric_type,source,threshold,window,comparison,radius,dtw_score
Clustering Coefficient,MSV,0.6,15,Confirmed Cases,50,49.863295346628846
Network Density,MSV,0.8,30,Confirmed Cases,15,49.90512820512829
Clustering Coefficient,RSV,0.6,30,Confirmed Cases,30,50.04000000000013
Clustering Coefficient,RSV,0.5,15,Confirmed Cases,7,50.34159167876153
Clustering Coefficient,MSV,0.4,30,Confirmed Cases,20,50.373558663558654
Network Density,RSV,0.5,15,Confirmed Cases,15,50.50948717948715
Network Density,MSV,0.5,15,Confirmed Cases,20,50.52497737556556
Network Density,RSV,0.8,30,Confirmed Cases,50,50.68128205128219
Clustering Coefficient,MSV,0.5,30,Confirmed Cases,50,50.68483516483534
Clustering Coefficient,RSV,0.6,15,Confirmed Cases,20,51.13834384195051
Network Density,RSV,0.6,30,Active Cases,50,51.332704817116166
Network Density,RSV,0.5,15,Active Cases,20,51.34750132136291
Clustering Coefficient,RSV,0.4,15,Confirmed Cases,7,51.40095406360423
Clustering Coefficient,RSV,0.4,30,Confirmed Cases,20,51.453737811484295
Network Density,RSV,0.4,15,Active Cases,50,51.471924361678155
Network Density,RSV,0.5,30,Active Cases,15,51.53754306934901
Network Density,MSV,0.8,15,Confirmed Cases,15,51.68666666666678
Clustering Coefficient,RSV,0.4,15,Active Cases,50,51.88060377097611
Clustering Coefficient,MSV,0.4,30,Confirmed Cases,15,52.11871017871016
Network Density,MSV,0.5,15,Confirmed Cases,15,52.20039215686276
Network Density,RSV,0.8,30,Confirmed Cases,30,52.612307692307766
Clustering Coefficient,RSV,0.4,30,Confirmed Cases,15,52.61713976164687
Clustering Coefficient,RSV,0.5,30,Confirmed Cases,20,52.74854700854713
Network Density,RSV,0.4,15,Confirmed Cases,50,52.90188644688639
Network Density,RSV,0.4,30,Active Cases,50,52.93106045861182
Clustering Coefficient,MSV,0.6,15,Confirmed Cases,30,53.120075973409485
Network Density,MSV,0.6,30,Confirmed Cases,7,53.33205128205125
Clustering Coefficient,MSV,0.5,30,Confirmed Cases,30,53.403207744636426
Clustering Coefficient,RSV,0.6,15,Confirmed Cases,15,53.40645229087866
Network Density,RSV,0.4,15,Active Cases,30,53.415257035659316
Network Density,MSV,0.8,30,Confirmed Cases,7,53.543333333333365
Network Density,MSV,0.4,30,Confirmed Cases,50,53.59494068120934
Network Density,RSV,0.6,15,Active Cases,20,53.65032164684893
Clustering Coefficient,RSV,0.6,30,Confirmed Cases,20,53.65705128205138
Clustering Coefficient,MSV,0.5,15,Confirmed Cases,7,53.67297359357069
Network Density,RSV,0.5,15,Active Cases,15,53.68582307881284
Network Density,MSV,0.4,30,Confirmed Cases,30,53.853524684270894
Clustering Coefficient,MSV,0.6,30,Confirmed Cases,50,54.093223443223685
Network Density,RSV,0.4,30,Confirmed Cases,50,54.16461538461536
Network Density,MSV,0.4,30,Confirmed Cases,20,54.206988136241854
Network Density,MSV,0.4,15,Active Cases,50,54.36058462959067
Clustering Coefficient,RSV,0.5,30,Confirmed Cases,15,54.728376068376164
Network Density,MSV,0.4,30,Confirmed Cases,15,54.80523536165329
Clustering Coefficient,MSV,0.5,30,Confirmed Cases,20,55.091522762951406
Network Density,RSV,0.8,30,Confirmed Cases,20,55.18923076923079
Clustering Coefficient,RSV,0.4,15,Active Cases,30,55.23972246920357
Clustering Coefficient,RSV,0.6,30,Confirmed Cases,15,55.71935897435904
