metric_type,source,threshold,window,comparison,radius,dtw_score
Clustering Coefficient,MSV,0.5,15,Confirmed Cases,15,20.257975507080012
Network Density,MSV,0.6,15,Confirmed Cases,20,20.30703962703961
Network Density,RSV,0.5,15,Active Cases,50,20.400200251617324
Network Density,MSV,0.5,30,Confirmed Cases,15,20.430958164642348
Network Density,MSV,0.8,15,Confirmed Cases,20,20.488205128205124
Network Density,MSV,0.5,15,Confirmed Cases,50,20.56521870286575
Clustering Coefficient,MSV,0.8,15,Confirmed Cases,20,20.597948717948707
Network Density,RSV,0.5,30,Confirmed Cases,20,20.703029218843167
Network Density,RSV,0.5,15,Confirmed Cases,50,20.726923076923068
Network Density,MSV,0.6,30,Confirmed Cases,15,20.841312217194616
Clustering Coefficient,MSV,0.6,30,Confirmed Cases,15,20.970507587650463
Network Density,MSV,0.5,15,Active Cases,50,21.086348164564463
Network Density,RSV,0.6,30,Confirmed Cases,15,21.129098143236117
Network Density,MSV,0.6,30,Active Cases,50,21.264711394819432
Clustering Coefficient,MSV,0.8,30,Confirmed Cases,15,21.480256410256366
Clustering Coefficient,MSV,0.4,30,Confirmed Cases,15,21.550777000777032
Network Density,RSV,0.6,15,Active Cases,50,21.6031168212422
Clustering Coefficient,RSV,0.6,15,Confirmed Cases,20,21.710105086170678
Clustering Coefficient,MSV,0.4,15,Confirmed Cases,30,21.711145731905216
Network Density,RSV,0.8,15,Confirmed Cases,15,21.89989010989014
Clustering Coefficient,RSV,0.8,15,Confirmed Cases,15,21.909166666666625
Network Density,MSV,0.6,15,Confirmed Cases,15,22.035687645687677
Clustering Coefficient,RSV,0.4,30,Confirmed Cases,20,22.107522571325436
Clustering Coefficient,RSV,0.6,30,Confirmed Cases,15,22.168205128205127
Network Density,RSV,0.6,15,Confirmed Cases,20,22.335091575091564
Network Density,RSV,0.5,30,Confirmed Cases,15,22.368401908169343
Clustering Coefficient,RSV,0.8,30,Confirmed Cases,15,22.415128205128074
Network Density,RSV,0.8,30,Confirmed Cases,15,22.525384615384603
Clustering Coefficient,RSV,0.5,30,Confirmed Cases,15,22.5335042735043
Clustering Coefficient,RSV,0.4,15,Confirmed Cases,30,22.59505028540365
Clustering Coefficient,MSV,0.4,30,Active Cases,50,22.69507345027446
Clustering Coefficient,MSV,0.6,15,Confirmed Cases,15,22.69991452991458
Network Density,RSV,0.6,30,Active Cases,50,22.903744114729164
Clustering Coefficient,MSV,0.8,15,Confirmed Cases,15,23.21743589743589
Network Density,MSV,0.8,15,Confirmed Cases,15,23.22358974358973
Clustering Coefficient,RSV,0.4,15,Active Cases,50,23.538841677220802
Clustering Coefficient,MSV,0.4,15,Active Cases,50,23.572861915150252
Network Density,MSV,0.8,30,Active Cases,50,23.646139068503402
Network Density,RSV,0.5,30,Active Cases,30,23.769312285198115
Network Density,RSV,0.6,15,Confirmed Cases,15,23.896190476190473
Clustering Coefficient,MSV,0.4,15,Confirmed Cases,20,24.28047711781886
Clustering Coefficient,RSV,0.6,15,Confirmed Cases,15,24.4180664144599
Clustering Coefficient,RSV,0.4,30,Confirmed Cases,15,24.570249187432324
Network Density,RSV,0.4,30,Confirmed Cases,50,24.572307692307596
Network Density,RSV,0.4,30,Active Cases,50,25.06600743928551
Network Density,MSV,0.4,15,Active Cases,50,25.067817251294713
Clustering Coefficient,RSV,0.4,15,Confirmed Cases,20,25.102425477937828
Clustering Coefficient,MSV,0.5,30,Active Cases,50,25.463023471969585
Network Density,RSV,0.4,15,Active Cases,50,25.476227830614548
Network Density,RSV,0.5,15,Confirmed Cases,30,25.769999999999985
Clustering Coefficient,MSV,0.4,15,Confirmed Cases,15,25.958218111002907
Network Density,MSV,0.5,30,Active Cases,30,25.9680491642376
Network Density,MSV,0.8,30,Confirmed Cases,7,26.351025641025632
Clustering Coefficient,RSV,0.4,30,Active Cases,50,26.44447865149859
Clustering Coefficient,RSV,0.5,30,Active Cases,50,26.46014275450593
Network Density,MSV,0.4,15,Confirmed Cases,50,26.498990057561464
Network Density,RSV,0.8,30,Active Cases,50,26.724346359291467
Network Density,MSV,0.4,30,Confirmed Cases,30,26.750818982012987
Clustering Coefficient,MSV,0.6,30,Active Cases,50,26.822604751768502
Network Density,MSV,0.5,15,Confirmed Cases,30,26.830030165912508
Network Density,MSV,0.5,30,Confirmed Cases,7,27.051470985155216
Clustering Coefficient,RSV,0.6,30,Active Cases,50,27.054816793177693
Network Density,RSV,0.5,15,Active Cases,30,27.286292814019113
Clustering Coefficient,RSV,0.5,15,Confirmed Cases,7,27.335050798258397
Clustering Coefficient,RSV,0.4,15,Confirmed Cases,15,27.70848056537102
Network Density,RSV,0.6,15,Active Cases,30,27.792342369647688
Network Density,RSV,0.6,30,Confirmed Cases,7,27.860468611847924
Clustering Coefficient,MSV,0.5,30,Confirmed Cases,7,28.047660910518072
