date,sipon,isPartial
2020-04-03,44,False
2020-04-04,51,False
2020-04-05,65,False
2020-04-06,44,False
2020-04-07,43,False
2020-04-08,68,False
2020-04-09,0,False
2020-04-10,0,False
2020-04-11,76,False
2020-04-12,100,False
2020-04-13,0,False
2020-04-14,47,False
2020-04-15,70,False
2020-04-16,55,False
2020-04-17,44,False
2020-04-18,0,False
2020-04-19,46,False
2020-04-20,50,False
2020-04-21,45,False
2020-04-22,57,False
2020-04-23,60,False
2020-04-24,65,False
2020-04-25,0,False
2020-04-26,0,False
2020-04-27,0,False
2020-04-28,65,False
2020-04-29,84,False
2020-04-30,46,False
2020-05-01,0,False
2020-05-02,56,False
2020-05-03,79,False
