date,sipon,isPartial
2020-10-05,56,False
2020-10-06,86,False
2020-10-07,77,False
2020-10-08,49,False
2020-10-09,70,False
2020-10-10,75,False
2020-10-11,55,False
2020-10-12,87,False
2020-10-13,82,False
2020-10-14,94,False
2020-10-15,71,False
2020-10-16,59,False
2020-10-17,60,False
2020-10-18,71,False
2020-10-19,74,False
2020-10-20,73,False
2020-10-21,78,False
2020-10-22,89,False
2020-10-23,84,False
2020-10-24,99,False
2020-10-25,91,False
2020-10-26,56,False
2020-10-27,73,False
2020-10-28,46,False
2020-10-29,0,False
2020-10-30,82,False
2020-10-31,80,False
2020-11-01,71,False
2020-11-02,100,False
2020-11-03,87,False
2020-11-04,100,False
