date,sipon,isPartial
2020-10-16,57,False
2020-10-17,58,False
2020-10-18,69,False
2020-10-19,72,False
2020-10-20,71,False
2020-10-21,76,False
2020-10-22,86,False
2020-10-23,82,False
2020-10-24,96,False
2020-10-25,88,False
2020-10-26,55,False
2020-10-27,71,False
2020-10-28,45,False
2020-10-29,0,False
2020-10-30,79,False
2020-10-31,78,False
2020-11-01,69,False
2020-11-02,97,False
2020-11-03,84,False
2020-11-04,97,False
2020-11-05,47,False
2020-11-06,79,False
2020-11-07,0,False
2020-11-08,90,False
2020-11-09,58,False
2020-11-10,76,False
2020-11-11,75,False
2020-11-12,100,False
2020-11-13,97,False
2020-11-14,65,False
2020-11-15,81,False
