date,sipon,isPartial
2020-10-28,36,False
2020-10-29,0,False
2020-10-30,64,False
2020-10-31,63,False
2020-11-01,55,False
2020-11-02,78,False
2020-11-03,68,False
2020-11-04,78,False
2020-11-05,38,False
2020-11-06,63,False
2020-11-07,0,False
2020-11-08,73,False
2020-11-09,47,False
2020-11-10,61,False
2020-11-11,60,False
2020-11-12,81,False
2020-11-13,78,False
2020-11-14,53,False
2020-11-15,65,False
2020-11-16,59,False
2020-11-17,57,False
2020-11-18,74,False
2020-11-19,44,False
2020-11-20,76,False
2020-11-21,80,False
2020-11-22,88,False
2020-11-23,76,False
2020-11-24,70,False
2020-11-25,68,False
2020-11-26,96,False
2020-11-27,100,False
