date,sipon,isPartial
2020-06-23,75,False
2020-06-24,52,False
2020-06-25,87,False
2020-06-26,84,False
2020-06-27,78,False
2020-06-28,66,False
2020-06-29,56,False
2020-06-30,66,False
2020-07-01,85,False
2020-07-02,82,False
2020-07-03,100,False
2020-07-04,88,False
2020-07-05,54,False
2020-07-06,73,False
2020-07-07,79,False
2020-07-08,63,False
2020-07-09,53,False
2020-07-10,68,False
2020-07-11,74,False
2020-07-12,64,False
2020-07-13,78,False
2020-07-14,63,False
2020-07-15,89,False
2020-07-16,61,False
2020-07-17,80,False
2020-07-18,59,False
2020-07-19,56,False
2020-07-20,92,False
2020-07-21,79,False
2020-07-22,100,False
2020-07-23,92,False
