date,sipon,isPartial
2020-09-07,0,False
2020-09-08,60,False
2020-09-09,36,False
2020-09-10,0,False
2020-09-11,100,False
2020-09-12,58,False
2020-09-13,60,False
2020-09-14,59,False
2020-09-15,54,False
2020-09-16,63,False
2020-09-17,64,False
2020-09-18,46,False
2020-09-19,52,False
2020-09-20,55,False
2020-09-21,38,False
2020-09-22,46,False
2020-09-23,69,False
2020-09-24,59,False
2020-09-25,49,False
2020-09-26,58,False
2020-09-27,67,False
2020-09-28,77,False
2020-09-29,70,False
2020-09-30,88,False
2020-10-01,47,False
2020-10-02,64,False
2020-10-03,68,False
2020-10-04,75,False
2020-10-05,45,False
2020-10-06,69,False
2020-10-07,62,False
