date,sipon,isPartial
2021-01-18,45,False
2021-01-19,77,False
2021-01-20,60,False
2021-01-21,52,False
2021-01-22,56,False
2021-01-23,39,False
2021-01-24,66,False
2021-01-25,47,False
2021-01-26,0,False
2021-01-27,43,False
2021-01-28,93,False
2021-01-29,47,False
2021-01-30,61,False
2021-01-31,100,False
2021-02-01,51,False
2021-02-02,62,False
2021-02-03,65,False
2021-02-04,60,False
2021-02-05,76,False
2021-02-06,0,False
2021-02-07,84,False
2021-02-08,68,False
2021-02-09,66,False
2021-02-10,51,False
2021-02-11,66,False
2021-02-12,61,False
2021-02-13,69,False
2021-02-14,63,False
2021-02-15,52,False
2021-02-16,77,False
2021-02-17,67,False
