date,sipon,isPartial
2020-10-27,60,False
2020-10-28,38,False
2020-10-29,0,False
2020-10-30,67,False
2020-10-31,65,False
2020-11-01,58,False
2020-11-02,82,False
2020-11-03,71,False
2020-11-04,82,False
2020-11-05,39,False
2020-11-06,66,False
2020-11-07,0,False
2020-11-08,76,False
2020-11-09,49,False
2020-11-10,64,False
2020-11-11,63,False
2020-11-12,84,False
2020-11-13,82,False
2020-11-14,55,False
2020-11-15,68,False
2020-11-16,62,False
2020-11-17,60,False
2020-11-18,77,False
2020-11-19,46,False
2020-11-20,80,False
2020-11-21,84,False
2020-11-22,92,False
2020-11-23,79,False
2020-11-24,73,False
2020-11-25,71,False
2020-11-26,100,False
