date,sipon,isPartial
2020-06-29,51,False
2020-06-30,60,False
2020-07-01,78,False
2020-07-02,75,False
2020-07-03,92,False
2020-07-04,80,False
2020-07-05,50,False
2020-07-06,67,False
2020-07-07,72,False
2020-07-08,58,False
2020-07-09,49,False
2020-07-10,63,False
2020-07-11,68,False
2020-07-12,59,False
2020-07-13,72,False
2020-07-14,58,False
2020-07-15,82,False
2020-07-16,56,False
2020-07-17,73,False
2020-07-18,54,False
2020-07-19,51,False
2020-07-20,84,False
2020-07-21,73,False
2020-07-22,91,False
2020-07-23,84,False
2020-07-24,71,False
2020-07-25,62,False
2020-07-26,100,False
2020-07-27,45,False
2020-07-28,75,False
2020-07-29,71,False
