date,sipon,isPartial
2020-05-29,0,False
2020-05-30,0,False
2020-05-31,0,False
2020-06-01,60,False
2020-06-02,0,False
2020-06-03,0,False
2020-06-04,0,False
2020-06-05,0,False
2020-06-06,55,False
2020-06-07,64,False
2020-06-08,0,False
2020-06-09,0,False
2020-06-10,59,False
2020-06-11,39,False
2020-06-12,52,False
2020-06-13,59,False
2020-06-14,85,False
2020-06-15,83,False
2020-06-16,72,False
2020-06-17,69,False
2020-06-18,66,False
2020-06-19,78,False
2020-06-20,64,False
2020-06-21,68,False
2020-06-22,67,False
2020-06-23,93,False
2020-06-24,69,False
2020-06-25,75,False
2020-06-26,85,False
2020-06-27,96,False
2020-06-28,100,False
