date,sipon,isPartial
2020-09-24,66,False
2020-09-25,55,False
2020-09-26,65,False
2020-09-27,76,False
2020-09-28,87,False
2020-09-29,79,False
2020-09-30,100,False
2020-10-01,54,False
2020-10-02,72,False
2020-10-03,77,False
2020-10-04,85,False
2020-10-05,51,False
2020-10-06,78,False
2020-10-07,71,False
2020-10-08,45,False
2020-10-09,64,False
2020-10-10,68,False
2020-10-11,50,False
2020-10-12,79,False
2020-10-13,75,False
2020-10-14,85,False
2020-10-15,65,False
2020-10-16,54,False
2020-10-17,54,False
2020-10-18,65,False
2020-10-19,67,False
2020-10-20,67,False
2020-10-21,71,False
2020-10-22,81,False
2020-10-23,77,False
2020-10-24,90,False
