date,sipon,isPartial
2020-12-26,41,False
2020-12-27,59,False
2020-12-28,70,False
2020-12-29,67,False
2020-12-30,66,False
2020-12-31,0,False
2021-01-01,82,False
2021-01-02,64,False
2021-01-03,51,False
2021-01-04,56,False
2021-01-05,40,False
2021-01-06,67,False
2021-01-07,56,False
2021-01-08,32,False
2021-01-09,73,False
2021-01-10,100,False
2021-01-11,78,False
2021-01-12,71,False
2021-01-13,63,False
2021-01-14,46,False
2021-01-15,56,False
2021-01-16,53,False
2021-01-17,62,False
2021-01-18,38,False
2021-01-19,64,False
2021-01-20,50,False
2021-01-21,43,False
2021-01-22,47,False
2021-01-23,33,False
2021-01-24,55,False
2021-01-25,39,False
