date,sipon,isPartial
2020-04-07,0,False
2020-04-08,100,False
2020-04-09,0,False
2020-04-10,53,False
2020-04-11,58,False
2020-04-12,96,False
2020-04-13,0,False
2020-04-14,37,False
2020-04-15,45,False
2020-04-16,36,False
2020-04-17,37,False
2020-04-18,0,False
2020-04-19,0,False
2020-04-20,0,False
2020-04-21,52,False
2020-04-22,0,False
2020-04-23,43,False
2020-04-24,0,False
2020-04-25,0,False
2020-04-26,0,False
2020-04-27,40,False
2020-04-28,66,False
2020-04-29,60,False
2020-04-30,0,False
2020-05-01,42,False
2020-05-02,53,False
2020-05-03,46,False
2020-05-04,38,False
2020-05-05,0,False
2020-05-06,0,False
2020-05-07,0,False
