date,sipon,isPartial
2020-12-05,68,False
2020-12-06,52,False
2020-12-07,46,False
2020-12-08,89,False
2020-12-09,0,False
2020-12-10,53,False
2020-12-11,0,False
2020-12-12,76,False
2020-12-13,49,False
2020-12-14,82,False
2020-12-15,70,False
2020-12-16,86,False
2020-12-17,0,False
2020-12-18,57,False
2020-12-19,49,False
2020-12-20,59,False
2020-12-21,59,False
2020-12-22,72,False
2020-12-23,52,False
2020-12-24,46,False
2020-12-25,55,False
2020-12-26,50,False
2020-12-27,72,False
2020-12-28,86,False
2020-12-29,82,False
2020-12-30,81,False
2020-12-31,0,False
2021-01-01,100,False
2021-01-02,79,False
2021-01-03,62,False
2021-01-04,68,False
