date,social distancing,isPartial
2020-08-21,0,False
2020-08-22,61,False
2020-08-23,0,False
2020-08-24,74,False
2020-08-25,65,False
2020-08-26,0,False
2020-08-27,65,False
2020-08-28,51,False
2020-08-29,0,False
2020-08-30,0,False
2020-08-31,76,False
2020-09-01,51,False
2020-09-02,0,False
2020-09-03,0,False
2020-09-04,82,False
2020-09-05,0,False
2020-09-06,54,False
2020-09-07,0,False
2020-09-08,66,False
2020-09-09,0,False
2020-09-10,56,False
2020-09-11,45,False
2020-09-12,0,False
2020-09-13,59,False
2020-09-14,75,False
2020-09-15,65,False
2020-09-16,91,False
2020-09-17,85,False
2020-09-18,74,False
2020-09-19,92,False
2020-09-20,100,False
