date,social distancing,isPartial
2020-09-17,19,False
2020-09-18,17,False
2020-09-19,21,False
2020-09-20,23,False
2020-09-21,26,False
2020-09-22,20,False
2020-09-23,10,False
2020-09-24,13,False
2020-09-25,0,False
2020-09-26,0,False
2020-09-27,14,False
2020-09-28,15,False
2020-09-29,24,False
2020-09-30,41,False
2020-10-01,100,False
2020-10-02,30,False
2020-10-03,21,False
2020-10-04,16,False
2020-10-05,12,False
2020-10-06,16,False
2020-10-07,27,False
2020-10-08,20,False
2020-10-09,28,False
2020-10-10,14,False
2020-10-11,0,False
2020-10-12,19,False
2020-10-13,11,False
2020-10-14,0,False
2020-10-15,21,False
2020-10-16,27,False
2020-10-17,14,False
