date,social distancing,isPartial
2020-04-15,77,False
2020-04-16,57,False
2020-04-17,80,False
2020-04-18,79,False
2020-04-19,0,False
2020-04-20,62,False
2020-04-21,80,False
2020-04-22,69,False
2020-04-23,61,False
2020-04-24,52,False
2020-04-25,50,False
2020-04-26,0,False
2020-04-27,63,False
2020-04-28,49,False
2020-04-29,55,False
2020-04-30,92,False
2020-05-01,51,False
2020-05-02,68,False
2020-05-03,54,False
2020-05-04,58,False
2020-05-05,52,False
2020-05-06,78,False
2020-05-07,83,False
2020-05-08,100,False
2020-05-09,61,False
2020-05-10,59,False
2020-05-11,68,False
2020-05-12,70,False
2020-05-13,70,False
2020-05-14,94,False
2020-05-15,77,False
