date,social distancing,isPartial
2020-10-05,54,False
2020-10-06,68,False
2020-10-07,100,False
2020-10-08,82,False
2020-10-09,88,False
2020-10-10,57,False
2020-10-11,59,False
2020-10-12,71,False
2020-10-13,47,False
2020-10-14,52,False
2020-10-15,65,False
2020-10-16,61,False
2020-10-17,63,False
2020-10-18,0,False
2020-10-19,42,False
2020-10-20,0,False
2020-10-21,0,False
2020-10-22,90,False
2020-10-23,0,False
2020-10-24,0,False
2020-10-25,69,False
2020-10-26,78,False
2020-10-27,44,False
2020-10-28,0,False
2020-10-29,45,False
2020-10-30,0,False
2020-10-31,0,False
2020-11-01,0,False
2020-11-02,0,False
2020-11-03,65,False
2020-11-04,0,False
