date,social distancing,isPartial
2020-03-25,100,False
2020-03-26,51,False
2020-03-27,90,False
2020-03-28,60,False
2020-03-29,59,False
2020-03-30,71,False
2020-03-31,60,False
2020-04-01,54,False
2020-04-02,56,False
2020-04-03,44,False
2020-04-04,50,False
2020-04-05,43,False
2020-04-06,51,False
2020-04-07,54,False
2020-04-08,45,False
2020-04-09,38,False
2020-04-10,0,False
2020-04-11,38,False
2020-04-12,42,False
2020-04-13,58,False
2020-04-14,60,False
2020-04-15,67,False
2020-04-16,50,False
2020-04-17,70,False
2020-04-18,69,False
2020-04-19,0,False
2020-04-20,54,False
2020-04-21,70,False
2020-04-22,60,False
2020-04-23,54,False
2020-04-24,45,False
