date,social distancing,isPartial
2020-03-19,100,False
2020-03-20,94,False
2020-03-21,67,False
2020-03-22,75,False
2020-03-23,76,False
2020-03-24,88,False
2020-03-25,80,False
2020-03-26,46,False
2020-03-27,74,False
2020-03-28,56,False
2020-03-29,53,False
2020-03-30,55,False
2020-03-31,41,False
2020-04-01,42,False
2020-04-02,44,False
2020-04-03,36,False
2020-04-04,48,False
2020-04-05,44,False
2020-04-06,41,False
2020-04-07,49,False
2020-04-08,23,False
2020-04-09,33,False
2020-04-10,23,False
2020-04-11,31,False
2020-04-12,35,False
2020-04-13,46,False
2020-04-14,46,False
2020-04-15,64,False
2020-04-16,46,False
2020-04-17,60,False
2020-04-18,55,False
