date,social distancing,isPartial
2020-08-23,0,False
2020-08-24,63,False
2020-08-25,56,False
2020-08-26,0,False
2020-08-27,56,False
2020-08-28,44,False
2020-08-29,0,False
2020-08-30,0,False
2020-08-31,66,False
2020-09-01,44,False
2020-09-02,0,False
2020-09-03,0,False
2020-09-04,71,False
2020-09-05,0,False
2020-09-06,46,False
2020-09-07,0,False
2020-09-08,57,False
2020-09-09,0,False
2020-09-10,48,False
2020-09-11,39,False
2020-09-12,0,False
2020-09-13,50,False
2020-09-14,64,False
2020-09-15,55,False
2020-09-16,78,False
2020-09-17,73,False
2020-09-18,64,False
2020-09-19,79,False
2020-09-20,86,False
2020-09-21,100,False
2020-09-22,77,False
