date,social distancing,isPartial
2020-05-19,89,False
2020-05-20,100,False
2020-05-21,63,False
2020-05-22,60,False
2020-05-23,66,False
2020-05-24,40,False
2020-05-25,58,False
2020-05-26,71,False
2020-05-27,79,False
2020-05-28,74,False
2020-05-29,51,False
2020-05-30,54,False
2020-05-31,65,False
2020-06-01,85,False
2020-06-02,61,False
2020-06-03,73,False
2020-06-04,66,False
2020-06-05,54,False
2020-06-06,55,False
2020-06-07,37,False
2020-06-08,59,False
2020-06-09,50,False
2020-06-10,53,False
2020-06-11,55,False
2020-06-12,32,False
2020-06-13,31,False
2020-06-14,61,False
2020-06-15,57,False
2020-06-16,44,False
2020-06-17,53,False
2020-06-18,29,False
