date,social distancing,isPartial
2020-04-01,67,False
2020-04-02,69,False
2020-04-03,54,False
2020-04-04,62,False
2020-04-05,54,False
2020-04-06,63,False
2020-04-07,67,False
2020-04-08,56,False
2020-04-09,47,False
2020-04-10,0,False
2020-04-11,47,False
2020-04-12,52,False
2020-04-13,71,False
2020-04-14,74,False
2020-04-15,83,False
2020-04-16,61,False
2020-04-17,87,False
2020-04-18,85,False
2020-04-19,0,False
2020-04-20,67,False
2020-04-21,87,False
2020-04-22,74,False
2020-04-23,66,False
2020-04-24,56,False
2020-04-25,54,False
2020-04-26,0,False
2020-04-27,68,False
2020-04-28,53,False
2020-04-29,59,False
2020-04-30,100,False
2020-05-01,55,False
