date,work from home,isPartial
2021-01-28,61,False
2021-01-29,59,False
2021-01-30,68,False
2021-01-31,79,False
2021-02-01,93,False
2021-02-02,79,False
2021-02-03,48,False
2021-02-04,91,False
2021-02-05,0,False
2021-02-06,61,False
2021-02-07,86,False
2021-02-08,66,False
2021-02-09,55,False
2021-02-10,83,False
2021-02-11,69,False
2021-02-12,53,False
2021-02-13,0,False
2021-02-14,0,False
2021-02-15,52,False
2021-02-16,57,False
2021-02-17,92,False
2021-02-18,84,False
2021-02-19,83,False
2021-02-20,0,False
2021-02-21,52,False
2021-02-22,65,False
2021-02-23,83,False
2021-02-24,87,False
2021-02-25,90,False
2021-02-26,100,False
2021-02-27,0,False
