date,work from home,isPartial
2020-10-19,56,False
2020-10-20,67,False
2020-10-21,61,False
2020-10-22,63,False
2020-10-23,61,False
2020-10-24,51,False
2020-10-25,58,False
2020-10-26,77,False
2020-10-27,85,False
2020-10-28,100,False
2020-10-29,62,False
2020-10-30,37,False
2020-10-31,46,False
2020-11-01,77,False
2020-11-02,60,False
2020-11-03,74,False
2020-11-04,89,False
2020-11-05,84,False
2020-11-06,68,False
2020-11-07,0,False
2020-11-08,0,False
2020-11-09,73,False
2020-11-10,79,False
2020-11-11,80,False
2020-11-12,0,False
2020-11-13,67,False
2020-11-14,0,False
2020-11-15,61,False
2020-11-16,73,False
2020-11-17,85,False
2020-11-18,77,False
