date,work from home,isPartial
2020-04-29,79,False
2020-04-30,61,False
2020-05-01,52,False
2020-05-02,47,False
2020-05-03,44,False
2020-05-04,50,False
2020-05-05,82,False
2020-05-06,59,False
2020-05-07,56,False
2020-05-08,59,False
2020-05-09,54,False
2020-05-10,33,False
2020-05-11,71,False
2020-05-12,66,False
2020-05-13,69,False
2020-05-14,61,False
2020-05-15,67,False
2020-05-16,74,False
2020-05-17,43,False
2020-05-18,100,False
2020-05-19,76,False
2020-05-20,72,False
2020-05-21,75,False
2020-05-22,83,False
2020-05-23,64,False
2020-05-24,44,False
2020-05-25,67,False
2020-05-26,82,False
2020-05-27,81,False
2020-05-28,92,False
2020-05-29,77,False
