date,work from home,isPartial
2020-08-18,63,False
2020-08-19,85,False
2020-08-20,59,False
2020-08-21,78,False
2020-08-22,44,False
2020-08-23,45,False
2020-08-24,77,False
2020-08-25,87,False
2020-08-26,59,False
2020-08-27,100,False
2020-08-28,48,False
2020-08-29,61,False
2020-08-30,51,False
2020-08-31,76,False
2020-09-01,73,False
2020-09-02,86,False
2020-09-03,78,False
2020-09-04,65,False
2020-09-05,49,False
2020-09-06,40,False
2020-09-07,74,False
2020-09-08,67,False
2020-09-09,60,False
2020-09-10,73,False
2020-09-11,75,False
2020-09-12,63,False
2020-09-13,61,False
2020-09-14,68,False
2020-09-15,86,False
2020-09-16,69,False
2020-09-17,45,False
