date,work from home,isPartial
2020-03-18,100,False
2020-03-19,80,False
2020-03-20,84,False
2020-03-21,45,False
2020-03-22,52,False
2020-03-23,67,False
2020-03-24,64,False
2020-03-25,76,False
2020-03-26,63,False
2020-03-27,69,False
2020-03-28,29,False
2020-03-29,37,False
2020-03-30,48,False
2020-03-31,66,False
2020-04-01,60,False
2020-04-02,49,False
2020-04-03,50,False
2020-04-04,30,False
2020-04-05,31,False
2020-04-06,50,False
2020-04-07,53,False
2020-04-08,58,False
2020-04-09,33,False
2020-04-10,25,False
2020-04-11,20,False
2020-04-12,20,False
2020-04-13,65,False
2020-04-14,42,False
2020-04-15,45,False
2020-04-16,57,False
2020-04-17,50,False
