date,work from home,isPartial
2020-04-12,36,False
2020-04-13,100,False
2020-04-14,58,False
2020-04-15,73,False
2020-04-16,79,False
2020-04-17,72,False
2020-04-18,48,False
2020-04-19,38,False
2020-04-20,80,False
2020-04-21,79,False
2020-04-22,79,False
2020-04-23,71,False
2020-04-24,64,False
2020-04-25,50,False
2020-04-26,43,False
2020-04-27,73,False
2020-04-28,78,False
2020-04-29,97,False
2020-04-30,69,False
2020-05-01,59,False
2020-05-02,65,False
2020-05-03,51,False
2020-05-04,68,False
2020-05-05,89,False
2020-05-06,54,False
2020-05-07,64,False
2020-05-08,60,False
2020-05-09,62,False
2020-05-10,49,False
2020-05-11,73,False
2020-05-12,72,False
