date,work from home,isPartial
2020-03-27,100,False
2020-03-28,43,False
2020-03-29,54,False
2020-03-30,70,False
2020-03-31,95,False
2020-04-01,87,False
2020-04-02,71,False
2020-04-03,73,False
2020-04-04,44,False
2020-04-05,46,False
2020-04-06,72,False
2020-04-07,78,False
2020-04-08,84,False
2020-04-09,48,False
2020-04-10,36,False
2020-04-11,29,False
2020-04-12,29,False
2020-04-13,95,False
2020-04-14,61,False
2020-04-15,66,False
2020-04-16,83,False
2020-04-17,73,False
2020-04-18,55,False
2020-04-19,36,False
2020-04-20,76,False
2020-04-21,82,False
2020-04-22,72,False
2020-04-23,67,False
2020-04-24,68,False
2020-04-25,53,False
2020-04-26,47,False
