date,work from home,isPartial
2020-10-21,51,False
2020-10-22,62,False
2020-10-23,70,False
2020-10-24,64,False
2020-10-25,0,False
2020-10-26,100,False
2020-10-27,50,False
2020-10-28,95,False
2020-10-29,42,False
2020-10-30,0,False
2020-10-31,49,False
2020-11-01,57,False
2020-11-02,65,False
2020-11-03,66,False
2020-11-04,91,False
2020-11-05,87,False
2020-11-06,63,False
2020-11-07,52,False
2020-11-08,0,False
2020-11-09,79,False
2020-11-10,55,False
2020-11-11,74,False
2020-11-12,74,False
2020-11-13,80,False
2020-11-14,0,False
2020-11-15,52,False
2020-11-16,0,False
2020-11-17,78,False
2020-11-18,77,False
2020-11-19,73,False
2020-11-20,87,False
