date,work from home,isPartial
2020-12-29,44,False
2020-12-30,0,False
2020-12-31,0,False
2021-01-01,0,False
2021-01-02,68,False
2021-01-03,67,False
2021-01-04,80,False
2021-01-05,66,False
2021-01-06,61,False
2021-01-07,50,False
2021-01-08,61,False
2021-01-09,61,False
2021-01-10,71,False
2021-01-11,80,False
2021-01-12,89,False
2021-01-13,92,False
2021-01-14,84,False
2021-01-15,51,False
2021-01-16,0,False
2021-01-17,63,False
2021-01-18,84,False
2021-01-19,0,False
2021-01-20,69,False
2021-01-21,55,False
2021-01-22,100,False
2021-01-23,54,False
2021-01-24,85,False
2021-01-25,86,False
2021-01-26,82,False
2021-01-27,80,False
2021-01-28,56,False
