date,work from home,isPartial
2020-06-03,97,False
2020-06-04,63,False
2020-06-05,64,False
2020-06-06,68,False
2020-06-07,55,False
2020-06-08,56,False
2020-06-09,65,False
2020-06-10,61,False
2020-06-11,72,False
2020-06-12,62,False
2020-06-13,50,False
2020-06-14,57,False
2020-06-15,55,False
2020-06-16,62,False
2020-06-17,63,False
2020-06-18,69,False
2020-06-19,65,False
2020-06-20,51,False
2020-06-21,57,False
2020-06-22,61,False
2020-06-23,66,False
2020-06-24,90,False
2020-06-25,100,False
2020-06-26,87,False
2020-06-27,51,False
2020-06-28,71,False
2020-06-29,66,False
2020-06-30,79,False
2020-07-01,70,False
2020-07-02,65,False
2020-07-03,70,False
