date,work from home,isPartial
2020-10-02,40,False
2020-10-03,73,False
2020-10-04,57,False
2020-10-05,100,False
2020-10-06,50,False
2020-10-07,73,False
2020-10-08,73,False
2020-10-09,66,False
2020-10-10,59,False
2020-10-11,70,False
2020-10-12,98,False
2020-10-13,66,False
2020-10-14,90,False
2020-10-15,81,False
2020-10-16,88,False
2020-10-17,47,False
2020-10-18,73,False
2020-10-19,59,False
2020-10-20,56,False
2020-10-21,64,False
2020-10-22,66,False
2020-10-23,75,False
2020-10-24,42,False
2020-10-25,64,False
2020-10-26,71,False
2020-10-27,77,False
2020-10-28,93,False
2020-10-29,50,False
2020-10-30,44,False
2020-10-31,0,False
2020-11-01,68,False
