date,work from home,isPartial
2020-05-02,58,False
2020-05-03,50,False
2020-05-04,49,False
2020-05-05,82,False
2020-05-06,57,False
2020-05-07,59,False
2020-05-08,64,False
2020-05-09,82,False
2020-05-10,53,False
2020-05-11,74,False
2020-05-12,63,False
2020-05-13,72,False
2020-05-14,61,False
2020-05-15,64,False
2020-05-16,64,False
2020-05-17,46,False
2020-05-18,97,False
2020-05-19,89,False
2020-05-20,65,False
2020-05-21,68,False
2020-05-22,90,False
2020-05-23,57,False
2020-05-24,53,False
2020-05-25,70,False
2020-05-26,85,False
2020-05-27,89,False
2020-05-28,91,False
2020-05-29,93,False
2020-05-30,77,False
2020-05-31,76,False
2020-06-01,100,False
