date,work from home,isPartial
2021-01-25,100,False
2021-01-26,95,False
2021-01-27,93,False
2021-01-28,64,False
2021-01-29,62,False
2021-01-30,72,False
2021-01-31,83,False
2021-02-01,98,False
2021-02-02,83,False
2021-02-03,50,False
2021-02-04,96,False
2021-02-05,0,False
2021-02-06,64,False
2021-02-07,90,False
2021-02-08,69,False
2021-02-09,58,False
2021-02-10,88,False
2021-02-11,72,False
2021-02-12,55,False
2021-02-13,0,False
2021-02-14,0,False
2021-02-15,54,False
2021-02-16,60,False
2021-02-17,96,False
2021-02-18,89,False
2021-02-19,88,False
2021-02-20,0,False
2021-02-21,55,False
2021-02-22,68,False
2021-02-23,87,False
2021-02-24,92,False
