date,work from home,isPartial
2020-07-29,73,False
2020-07-30,88,False
2020-07-31,53,False
2020-08-01,61,False
2020-08-02,64,False
2020-08-03,100,False
2020-08-04,86,False
2020-08-05,73,False
2020-08-06,75,False
2020-08-07,73,False
2020-08-08,67,False
2020-08-09,51,False
2020-08-10,69,False
2020-08-11,59,False
2020-08-12,63,False
2020-08-13,66,False
2020-08-14,68,False
2020-08-15,37,False
2020-08-16,53,False
2020-08-17,73,False
2020-08-18,53,False
2020-08-19,69,False
2020-08-20,47,False
2020-08-21,52,False
2020-08-22,49,False
2020-08-23,35,False
2020-08-24,56,False
2020-08-25,67,False
2020-08-26,47,False
2020-08-27,87,False
2020-08-28,39,False
