date,Quarantine,isPartial
2020-08-03,100,False
2020-08-04,53,False
2020-08-05,46,False
2020-08-06,39,False
2020-08-07,37,False
2020-08-08,35,False
2020-08-09,33,False
2020-08-10,35,False
2020-08-11,30,False
2020-08-12,31,False
2020-08-13,33,False
2020-08-14,31,False
2020-08-15,42,False
2020-08-16,35,False
2020-08-17,84,False
2020-08-18,56,False
2020-08-19,43,False
2020-08-20,39,False
2020-08-21,32,False
2020-08-22,33,False
2020-08-23,29,False
2020-08-24,34,False
2020-08-25,30,False
2020-08-26,27,False
2020-08-27,28,False
2020-08-28,34,False
2020-08-29,32,False
2020-08-30,32,False
2020-08-31,53,False
2020-09-01,41,False
2020-09-02,35,False
