date,Quarantine,isPartial
2020-10-30,100,False
2020-10-31,85,False
2020-11-01,66,False
2020-11-02,88,False
2020-11-03,94,False
2020-11-04,88,False
2020-11-05,83,False
2020-11-06,88,False
2020-11-07,76,False
2020-11-08,66,False
2020-11-09,71,False
2020-11-10,78,False
2020-11-11,60,False
2020-11-12,59,False
2020-11-13,38,False
2020-11-14,53,False
2020-11-15,76,False
2020-11-16,91,False
2020-11-17,67,False
2020-11-18,77,False
2020-11-19,71,False
2020-11-20,82,False
2020-11-21,73,False
2020-11-22,81,False
2020-11-23,85,False
2020-11-24,62,False
2020-11-25,93,False
2020-11-26,68,False
2020-11-27,71,False
2020-11-28,64,False
2020-11-29,55,False
