date,Quarantine,isPartial
2020-09-22,66,False
2020-09-23,51,False
2020-09-24,58,False
2020-09-25,63,False
2020-09-26,59,False
2020-09-27,63,False
2020-09-28,88,False
2020-09-29,79,False
2020-09-30,74,False
2020-10-01,73,False
2020-10-02,65,False
2020-10-03,63,False
2020-10-04,62,False
2020-10-05,72,False
2020-10-06,70,False
2020-10-07,78,False
2020-10-08,70,False
2020-10-09,57,False
2020-10-10,65,False
2020-10-11,56,False
2020-10-12,58,False
2020-10-13,66,False
2020-10-14,60,False
2020-10-15,64,False
2020-10-16,70,False
2020-10-17,65,False
2020-10-18,63,False
2020-10-19,91,False
2020-10-20,100,False
2020-10-21,99,False
2020-10-22,94,False
