date,Quarantine,isPartial
2020-11-27,58,False
2020-11-28,52,False
2020-11-29,45,False
2020-11-30,100,False
2020-12-01,86,False
2020-12-02,65,False
2020-12-03,61,False
2020-12-04,71,False
2020-12-05,59,False
2020-12-06,54,False
2020-12-07,63,False
2020-12-08,45,False
2020-12-09,69,False
2020-12-10,62,False
2020-12-11,57,False
2020-12-12,46,False
2020-12-13,64,False
2020-12-14,55,False
2020-12-15,58,False
2020-12-16,48,False
2020-12-17,57,False
2020-12-18,63,False
2020-12-19,52,False
2020-12-20,49,False
2020-12-21,54,False
2020-12-22,53,False
2020-12-23,52,False
2020-12-24,45,False
2020-12-25,52,False
2020-12-26,51,False
2020-12-27,37,False
