date,Quarantine,isPartial
2020-12-13,44,False
2020-12-14,38,False
2020-12-15,40,False
2020-12-16,33,False
2020-12-17,40,False
2020-12-18,44,False
2020-12-19,37,False
2020-12-20,34,False
2020-12-21,38,False
2020-12-22,37,False
2020-12-23,36,False
2020-12-24,31,False
2020-12-25,36,False
2020-12-26,36,False
2020-12-27,26,False
2020-12-28,100,False
2020-12-29,90,False
2020-12-30,45,False
2020-12-31,28,False
2021-01-01,41,False
2021-01-02,36,False
2021-01-03,39,False
2021-01-04,41,False
2021-01-05,38,False
2021-01-06,42,False
2021-01-07,44,False
2021-01-08,35,False
2021-01-09,45,False
2021-01-10,32,False
2021-01-11,41,False
2021-01-12,42,False
