date,Quarantine,isPartial
2020-10-25,98,False
2020-10-26,100,False
2020-10-27,100,False
2020-10-28,84,False
2020-10-29,75,False
2020-10-30,72,False
2020-10-31,61,False
2020-11-01,55,False
2020-11-02,63,False
2020-11-03,65,False
2020-11-04,58,False
2020-11-05,60,False
2020-11-06,59,False
2020-11-07,57,False
2020-11-08,47,False
2020-11-09,56,False
2020-11-10,55,False
2020-11-11,42,False
2020-11-12,40,False
2020-11-13,29,False
2020-11-14,38,False
2020-11-15,51,False
2020-11-16,62,False
2020-11-17,51,False
2020-11-18,53,False
2020-11-19,55,False
2020-11-20,59,False
2020-11-21,56,False
2020-11-22,59,False
2020-11-23,57,False
2020-11-24,45,False
