date,Quarantine,isPartial
2021-01-19,71,False
2021-01-20,68,False
2021-01-21,85,False
2021-01-22,90,False
2021-01-23,69,False
2021-01-24,75,False
2021-01-25,95,False
2021-01-26,85,False
2021-01-27,95,False
2021-01-28,83,False
2021-01-29,94,False
2021-01-30,83,False
2021-01-31,88,False
2021-02-01,100,False
2021-02-02,94,False
2021-02-03,94,False
2021-02-04,85,False
2021-02-05,74,False
2021-02-06,55,False
2021-02-07,63,False
2021-02-08,77,False
2021-02-09,61,False
2021-02-10,84,False
2021-02-11,75,False
2021-02-12,76,False
2021-02-13,76,False
2021-02-14,74,False
2021-02-15,85,False
2021-02-16,89,False
2021-02-17,89,False
2021-02-18,90,False
