date,Quarantine,isPartial
2020-07-02,48,False
2020-07-03,50,False
2020-07-04,45,False
2020-07-05,50,False
2020-07-06,54,False
2020-07-07,54,False
2020-07-08,48,False
2020-07-09,44,False
2020-07-10,49,False
2020-07-11,34,False
2020-07-12,38,False
2020-07-13,53,False
2020-07-14,60,False
2020-07-15,81,False
2020-07-16,71,False
2020-07-17,52,False
2020-07-18,44,False
2020-07-19,42,False
2020-07-20,46,False
2020-07-21,54,False
2020-07-22,50,False
2020-07-23,56,False
2020-07-24,48,False
2020-07-25,53,False
2020-07-26,59,False
2020-07-27,58,False
2020-07-28,49,False
2020-07-29,55,False
2020-07-30,77,False
2020-07-31,100,False
2020-08-01,47,False
