date,Quarantine,isPartial
2020-09-19,66,False
2020-09-20,68,False
2020-09-21,63,False
2020-09-22,70,False
2020-09-23,58,False
2020-09-24,63,False
2020-09-25,67,False
2020-09-26,59,False
2020-09-27,66,False
2020-09-28,97,False
2020-09-29,91,False
2020-09-30,81,False
2020-10-01,77,False
2020-10-02,74,False
2020-10-03,70,False
2020-10-04,69,False
2020-10-05,80,False
2020-10-06,77,False
2020-10-07,87,False
2020-10-08,72,False
2020-10-09,64,False
2020-10-10,69,False
2020-10-11,59,False
2020-10-12,61,False
2020-10-13,71,False
2020-10-14,71,False
2020-10-15,74,False
2020-10-16,75,False
2020-10-17,66,False
2020-10-18,69,False
2020-10-19,100,False
