date,rashes,isPartial
2020-05-17,69,False
2020-05-18,67,False
2020-05-19,85,False
2020-05-20,77,False
2020-05-21,94,False
2020-05-22,100,False
2020-05-23,58,False
2020-05-24,76,False
2020-05-25,71,False
2020-05-26,69,False
2020-05-27,66,False
2020-05-28,39,False
2020-05-29,60,False
2020-05-30,43,False
2020-05-31,81,False
2020-06-01,70,False
2020-06-02,80,False
2020-06-03,56,False
2020-06-04,73,False
2020-06-05,58,False
2020-06-06,71,False
2020-06-07,63,False
2020-06-08,67,False
2020-06-09,42,False
2020-06-10,55,False
2020-06-11,52,False
2020-06-12,51,False
2020-06-13,48,False
2020-06-14,57,False
2020-06-15,39,False
2020-06-16,67,False
