date,rashes,isPartial
2020-10-29,63,False
2020-10-30,54,False
2020-10-31,59,False
2020-11-01,56,False
2020-11-02,73,False
2020-11-03,60,False
2020-11-04,55,False
2020-11-05,47,False
2020-11-06,60,False
2020-11-07,49,False
2020-11-08,68,False
2020-11-09,46,False
2020-11-10,27,False
2020-11-11,47,False
2020-11-12,50,False
2020-11-13,62,False
2020-11-14,52,False
2020-11-15,97,False
2020-11-16,68,False
2020-11-17,77,False
2020-11-18,67,False
2020-11-19,54,False
2020-11-20,100,False
2020-11-21,46,False
2020-11-22,60,False
2020-11-23,56,False
2020-11-24,34,False
2020-11-25,42,False
2020-11-26,55,False
2020-11-27,54,False
2020-11-28,65,False
