date,rashes,isPartial
2021-01-24,87,False
2021-01-25,52,False
2021-01-26,86,False
2021-01-27,51,False
2021-01-28,81,False
2021-01-29,45,False
2021-01-30,59,False
2021-01-31,76,False
2021-02-01,80,False
2021-02-02,75,False
2021-02-03,53,False
2021-02-04,77,False
2021-02-05,52,False
2021-02-06,94,False
2021-02-07,84,False
2021-02-08,51,False
2021-02-09,64,False
2021-02-10,49,False
2021-02-11,57,False
2021-02-12,84,False
2021-02-13,71,False
2021-02-14,61,False
2021-02-15,61,False
2021-02-16,95,False
2021-02-17,78,False
2021-02-18,83,False
2021-02-19,75,False
2021-02-20,0,False
2021-02-21,100,False
2021-02-22,68,False
2021-02-23,53,False
