date,rashes,isPartial
2020-08-19,63,False
2020-08-20,73,False
2020-08-21,86,False
2020-08-22,81,False
2020-08-23,86,False
2020-08-24,76,False
2020-08-25,89,False
2020-08-26,71,False
2020-08-27,62,False
2020-08-28,29,False
2020-08-29,79,False
2020-08-30,94,False
2020-08-31,78,False
2020-09-01,88,False
2020-09-02,51,False
2020-09-03,58,False
2020-09-04,56,False
2020-09-05,100,False
2020-09-06,84,False
2020-09-07,68,False
2020-09-08,64,False
2020-09-09,62,False
2020-09-10,35,False
2020-09-11,62,False
2020-09-12,80,False
2020-09-13,54,False
2020-09-14,41,False
2020-09-15,62,False
2020-09-16,33,False
2020-09-17,55,False
2020-09-18,69,False
