date,rashes,isPartial
2020-04-11,50,False
2020-04-12,48,False
2020-04-13,67,False
2020-04-14,58,False
2020-04-15,39,False
2020-04-16,56,False
2020-04-17,52,False
2020-04-18,63,False
2020-04-19,51,False
2020-04-20,45,False
2020-04-21,44,False
2020-04-22,57,False
2020-04-23,58,False
2020-04-24,77,False
2020-04-25,78,False
2020-04-26,68,False
2020-04-27,83,False
2020-04-28,50,False
2020-04-29,50,False
2020-04-30,53,False
2020-05-01,70,False
2020-05-02,78,False
2020-05-03,49,False
2020-05-04,45,False
2020-05-05,57,False
2020-05-06,83,False
2020-05-07,61,False
2020-05-08,69,False
2020-05-09,100,False
2020-05-10,88,False
2020-05-11,86,False
