date,rashes,isPartial
2020-03-27,74,False
2020-03-28,83,False
2020-03-29,77,False
2020-03-30,85,False
2020-03-31,61,False
2020-04-01,67,False
2020-04-02,87,False
2020-04-03,63,False
2020-04-04,62,False
2020-04-05,46,False
2020-04-06,63,False
2020-04-07,75,False
2020-04-08,56,False
2020-04-09,57,False
2020-04-10,61,False
2020-04-11,64,False
2020-04-12,61,False
2020-04-13,86,False
2020-04-14,74,False
2020-04-15,49,False
2020-04-16,72,False
2020-04-17,67,False
2020-04-18,80,False
2020-04-19,65,False
2020-04-20,57,False
2020-04-21,56,False
2020-04-22,73,False
2020-04-23,74,False
2020-04-24,99,False
2020-04-25,100,False
2020-04-26,87,False
