date,rashes,isPartial
2021-01-15,100,False
2021-01-16,59,False
2021-01-17,75,False
2021-01-18,72,False
2021-01-19,62,False
2021-01-20,52,False
2021-01-21,45,False
2021-01-22,62,False
2021-01-23,85,False
2021-01-24,58,False
2021-01-25,62,False
2021-01-26,69,False
2021-01-27,48,False
2021-01-28,82,False
2021-01-29,56,False
2021-01-30,67,False
2021-01-31,59,False
2021-02-01,66,False
2021-02-02,66,False
2021-02-03,76,False
2021-02-04,57,False
2021-02-05,48,False
2021-02-06,83,False
2021-02-07,86,False
2021-02-08,68,False
2021-02-09,46,False
2021-02-10,37,False
2021-02-11,56,False
2021-02-12,78,False
2021-02-13,73,False
2021-02-14,70,False
