date,rashes,isPartial
2020-10-09,37,False
2020-10-10,83,False
2020-10-11,69,False
2020-10-12,50,False
2020-10-13,84,False
2020-10-14,43,False
2020-10-15,76,False
2020-10-16,55,False
2020-10-17,0,False
2020-10-18,100,False
2020-10-19,60,False
2020-10-20,48,False
2020-10-21,52,False
2020-10-22,73,False
2020-10-23,97,False
2020-10-24,41,False
2020-10-25,0,False
2020-10-26,58,False
2020-10-27,54,False
2020-10-28,56,False
2020-10-29,77,False
2020-10-30,66,False
2020-10-31,72,False
2020-11-01,68,False
2020-11-02,89,False
2020-11-03,73,False
2020-11-04,68,False
2020-11-05,58,False
2020-11-06,73,False
2020-11-07,60,False
2020-11-08,83,False
