date,rashes,isPartial
2020-11-27,71,False
2020-11-28,86,False
2020-11-29,0,False
2020-11-30,78,False
2020-12-01,72,False
2020-12-02,68,False
2020-12-03,43,False
2020-12-04,49,False
2020-12-05,81,False
2020-12-06,64,False
2020-12-07,72,False
2020-12-08,65,False
2020-12-09,77,False
2020-12-10,54,False
2020-12-11,85,False
2020-12-12,62,False
2020-12-13,100,False
2020-12-14,90,False
2020-12-15,70,False
2020-12-16,66,False
2020-12-17,77,False
2020-12-18,71,False
2020-12-19,99,False
2020-12-20,71,False
2020-12-21,95,False
2020-12-22,73,False
2020-12-23,53,False
2020-12-24,98,False
2020-12-25,66,False
2020-12-26,78,False
2020-12-27,85,False
