date,rashes,isPartial
2020-06-18,61,False
2020-06-19,70,False
2020-06-20,74,False
2020-06-21,51,False
2020-06-22,93,False
2020-06-23,76,False
2020-06-24,99,False
2020-06-25,87,False
2020-06-26,87,False
2020-06-27,83,False
2020-06-28,60,False
2020-06-29,79,False
2020-06-30,81,False
2020-07-01,83,False
2020-07-02,94,False
2020-07-03,97,False
2020-07-04,94,False
2020-07-05,84,False
2020-07-06,77,False
2020-07-07,55,False
2020-07-08,71,False
2020-07-09,88,False
2020-07-10,79,False
2020-07-11,85,False
2020-07-12,89,False
2020-07-13,85,False
2020-07-14,80,False
2020-07-15,66,False
2020-07-16,74,False
2020-07-17,95,False
2020-07-18,100,False
