date,rashes,isPartial
2021-02-12,77,False
2021-02-13,65,False
2021-02-14,56,False
2021-02-15,56,False
2021-02-16,87,False
2021-02-17,71,False
2021-02-18,76,False
2021-02-19,69,False
2021-02-20,0,False
2021-02-21,92,False
2021-02-22,62,False
2021-02-23,48,False
2021-02-24,51,False
2021-02-25,47,False
2021-02-26,56,False
2021-02-27,69,False
2021-02-28,69,False
2021-03-01,65,False
2021-03-02,66,False
2021-03-03,53,False
2021-03-04,66,False
2021-03-05,55,False
2021-03-06,99,False
2021-03-07,73,False
2021-03-08,70,False
2021-03-09,83,False
2021-03-10,51,False
2021-03-11,69,False
2021-03-12,76,False
2021-03-13,77,False
2021-03-14,100,False
