date,rashes,isPartial
2020-05-12,100,False
2020-05-13,43,False
2020-05-14,44,False
2020-05-15,38,False
2020-05-16,46,False
2020-05-17,56,False
2020-05-18,54,False
2020-05-19,69,False
2020-05-20,62,False
2020-05-21,76,False
2020-05-22,81,False
2020-05-23,48,False
2020-05-24,62,False
2020-05-25,58,False
2020-05-26,56,False
2020-05-27,53,False
2020-05-28,31,False
2020-05-29,48,False
2020-05-30,35,False
2020-05-31,66,False
2020-06-01,57,False
2020-06-02,65,False
2020-06-03,45,False
2020-06-04,59,False
2020-06-05,47,False
2020-06-06,57,False
2020-06-07,51,False
2020-06-08,54,False
2020-06-09,34,False
2020-06-10,45,False
2020-06-11,42,False
